COLOR,W1,W2,W3,W4,W5,version
B,494.5985013390314,268.3311548024505,49999994.42110138,220.29981769808623,220.29981769808623,25
R,480.2252821415215,285.03115593683566,49999992.88519386,243.13552390124718,243.13552390124718,25
G,479.4808408035936,281.0430873116087,49999993.47816525,245.40539553809586,245.40539553809586,25
R,480.225470950504,285.03075792921663,49999992.88519386,243.13524000602243,243.13524000602243,26
G,477.43152578280296,283.5156988231485,49999993.47816525,249.77844542651943,249.77844542651943,26
B,493.73056564765307,271.97991583590493,49999993.92167132,223.1897674461211,223.1897674461211,26
R,479.75031986404815,285.7583799425703,49999992.72525279,244.45497746604912,244.45497746604912,27
G,476.52117656303085,283.9640652446458,49999993.325224295,251.16761701142784,251.16761701142784,27
B,493.0471004724826,272.5001683941593,49999993.4388343,224.50594876509743,224.50594876509743,27
B,493.047296170169,272.4998257165389,49999993.4388343,224.50557089142762,224.50557089142762,28
R,478.12929910129037,287.08624367611196,49999991.40897176,248.6112189488897,248.6112189488897,28
G,475.33298105453764,285.777144940343,49999992.88404881,254.08056017899125,254.08056017899125,28
B,493.0474461362381,272.4995257841541,49999993.4388343,224.5052613324057,224.5052613324057,29
R,477.4534101180666,290.4114167944347,49999990.53890839,252.04798128364465,252.04798128364465,29
G,473.35246006554405,287.54783680460105,49999992.88404881,257.2769721742614,257.2769721742614,29
R,476.7891493274314,291.7399383757052,49999990.53890839,253.65090900625145,253.65090900625145,30
G,472.53047191031686,288.7186987903467,49999992.88404881,259.04226807565675,259.04226807565675,30
B,492.3831760502157,273.828065956199,49999993.4388343,225.82673554624859,225.82673554624859,30
R,476.7893913607162,291.73960735606187,49999990.53890839,253.6504143651781,253.6504143651781,31
G,471.9354876922017,292.45924605570286,49999992.39817257,261.66156783185016,261.66156783185016,31
B,490.72522159033883,276.88793748567014,49999993.11033429,228.8648300296542,228.8648300296542,31
G,471.9356593796498,292.4589125503628,49999992.39817257,261.6611462494459,261.6611462494459,32
R,475.1870389014586,294.05355914936,49999989.6431202,255.4380570695113,255.4380570695113,32
B,488.6491332879131,279.3607162514562,49999992.96033429,230.9055034753374,230.9055034753374,32
R,474.5227785133818,295.38207992551355,49999989.6431202,257.0409828577589,257.0409828577589,33
G,471.11367149447716,293.6297748193229,49999992.39817257,263.4264420824754,263.4264420824754,33
B,487.98486333620315,280.68925615487615,49999992.96033429,232.22697600192143,232.22697600192143,33
G,471.1138878113932,293.62948698889164,49999992.39817257,263.42608559207093,263.42608559207093,34
R,473.62591054947995,299.22252822228074,49999989.6431202,259.32197512311217,259.32197512311217,34
B,486.5850141961917,284.01250270828257,49999992.5443693,236.74259260534168,236.74259260534168,34
R,472.9616512118493,300.55104689754205,49999989.6431202,260.9248779738863,260.9248779738863,35
G,470.29189955490966,294.80035006267934,49999992.39817257,265.1913825165376,265.1913825165376,35
B,485.9207427405989,285.3410456194681,49999992.5443693,238.0640676311591,238.0640676311591,35
G,470.0374685353466,294.4279598941144,49999992.39817257,264.8713888993764,264.8713888993764,36
R,471.81364705689384,304.4887114357794,49999989.6431202,263.913951550944,263.913951550944,36
